temp,location,clouds,pressure,rain,humidity,wind,datetime
27.27,Beacon Hill,0.15,1033.4,,0.81,2.99,14-12-2018 11:45:01
27.07,Boston University,0.15,1033.4,,0.8,2.84,14-12-2018 11:45:01
26.88,Fenway,0.15,1033.4,,0.81,2.88,14-12-2018 11:45:01
27.26,Financial District,0.15,1033.4,,0.81,3.07,14-12-2018 11:45:01
27.34,Haymarket Square,0.15,1033.4,,0.81,3.04,14-12-2018 11:45:01
27.43,North End,0.15,1033.4,,0.81,3.05,14-12-2018 11:45:01
27.22,North Station,0.15,1033.4,,0.81,3.01,14-12-2018 11:45:01
26.93,Northeastern University,0.16,1033.4,,0.81,2.94,14-12-2018 11:45:01
27.17,South Station,0.15,1033.4,,0.81,3.07,14-12-2018 11:45:01
27.03,Theatre District,0.15,1033.4,,0.82,3.03,14-12-2018 11:45:01
45.49,Back Bay,1.0,1012.46,,0.86,6.47,26-11-2018 17:35:10
45.42,Beacon Hill,1.0,1012.47,,0.86,6.48,26-11-2018 17:35:10
45.55,Boston University,1.0,1012.46,,0.85,6.43,26-11-2018 17:35:10
45.64,Fenway,1.0,1012.46,,0.85,6.44,26-11-2018 17:35:10
45.54,Financial District,1.0,1012.47,,0.85,6.5,26-11-2018 17:35:10
45.42,Haymarket Square,1.0,1012.47,,0.86,6.5,26-11-2018 17:35:10
45.43,North End,1.0,1012.47,,0.86,6.51,26-11-2018 17:35:10
45.47,North Station,1.0,1012.47,,0.86,6.5,26-11-2018 17:35:10
45.69,Northeastern University,1.0,1012.46,,0.85,6.46,26-11-2018 17:35:10
45.61,South Station,1.0,1012.47,,0.85,6.5,26-11-2018 17:35:10
45.55,Theatre District,1.0,1012.47,,0.85,6.49,26-11-2018 17:35:10
45.46,West End,1.0,1012.47,,0.86,6.49,26-11-2018 17:35:10
45.52,South Station,0.89,1000.08,,0.95,1.39,03-12-2018 09:52:59
45.98,Back Bay,0.99,1021.67,,0.9,5.58,15-12-2018 10:45:01
45.98,Beacon Hill,0.99,1021.65,,0.9,5.64,15-12-2018 10:45:01
46.11,Boston University,0.99,1021.67,,0.89,5.51,15-12-2018 10:45:01
46.83,Financial District,0.99,1021.65,,0.87,5.68,15-12-2018 10:45:01
45.94,Haymarket Square,0.99,1021.65,,0.9,5.69,15-12-2018 10:45:01
45.97,North End,0.99,1021.64,,0.9,5.7,15-12-2018 10:45:01
45.86,North Station,0.99,1021.64,,0.9,5.68,15-12-2018 10:45:01
45.65,Northeastern University,0.99,1021.68,,0.91,5.53,15-12-2018 10:45:01
45.68,Theatre District,0.99,1021.66,,0.91,5.64,15-12-2018 10:45:01
45.78,West End,0.99,1021.65,,0.91,5.66,15-12-2018 10:45:01
44.34,Back Bay,0.19,1029.99,,0.61,3.39,14-12-2018 18:45:01
44.18,Beacon Hill,0.19,1029.99,,0.61,3.39,14-12-2018 18:45:01
44.25,Boston University,0.2,1029.98,,0.61,3.38,14-12-2018 18:45:01
44.53,Fenway,0.2,1029.98,,0.61,3.38,14-12-2018 18:45:01
44.55,Financial District,0.18,1030.0,,0.6,3.4,14-12-2018 18:45:01
44.37,Haymarket Square,0.19,1030.0,,0.61,3.4,14-12-2018 18:45:01
44.37,North End,0.18,1030.0,,0.61,3.4,14-12-2018 18:45:01
44.44,North Station,0.19,1029.99,,0.61,3.39,14-12-2018 18:45:01
44.47,Theatre District,0.19,1029.99,,0.61,3.39,14-12-2018 18:45:01
44.41,West End,0.19,1029.99,,0.61,3.39,14-12-2018 18:45:01
40.01,Back Bay,0.95,1000.9,,0.81,6.46,17-12-2018 17:45:01
39.78,Beacon Hill,0.95,1000.89,,0.81,6.44,17-12-2018 17:45:01
40.15,Boston University,0.94,1000.91,,0.8,6.44,17-12-2018 17:45:01
40.27,Fenway,0.94,1000.91,,0.8,6.47,17-12-2018 17:45:01
39.89,Financial District,0.96,1000.89,,0.81,6.46,17-12-2018 17:45:01
39.85,Haymarket Square,0.95,1000.89,,0.81,6.43,17-12-2018 17:45:01
39.82,North End,0.96,1000.89,,0.81,6.43,17-12-2018 17:45:01
39.92,North Station,0.95,1000.89,,0.81,6.42,17-12-2018 17:45:01
40.17,Northeastern University,0.94,1000.91,,0.8,6.49,17-12-2018 17:45:01
39.9,South Station,0.95,1000.9,,0.81,6.47,17-12-2018 17:45:01
39.92,Theatre District,0.95,1000.9,,0.81,6.46,17-12-2018 17:45:01
39.56,West End,0.95,1000.87,,0.81,6.49,17-12-2018 17:45:01
38.59,Back Bay,0.75,996.83,,0.69,11.01,29-11-2018 00:39:28
38.55,Beacon Hill,0.75,996.82,,0.69,11.05,29-11-2018 00:39:28
38.62,Boston University,0.74,996.85,,0.69,10.84,29-11-2018 00:39:28
38.35,Fenway,0.75,996.86,,0.7,10.9,29-11-2018 00:39:28
38.0,Financial District,0.76,996.81,,0.71,11.17,29-11-2018 00:39:28
38.52,Haymarket Square,0.75,996.8,,0.69,11.11,29-11-2018 00:39:28
38.55,North End,0.75,996.8,,0.69,11.13,29-11-2018 00:39:28
38.44,North Station,0.75,996.8,,0.69,11.07,29-11-2018 00:39:28
38.32,Northeastern University,0.75,996.85,,0.7,10.99,29-11-2018 00:39:28
37.94,South Station,0.76,996.81,,0.71,11.19,29-11-2018 00:39:28
38.35,Theatre District,0.76,996.82,,0.7,11.12,29-11-2018 00:39:28
38.39,West End,0.75,996.81,,0.69,11.06,29-11-2018 00:39:28
36.33,Beacon Hill,0.29,1001.77,,0.69,10.03,18-12-2018 02:45:02
37.0,Financial District,0.29,1001.76,,0.67,10.1,18-12-2018 02:45:02
36.16,West End,0.29,1001.85,,0.7,10.01,18-12-2018 02:45:02
36.78,Back Bay,0.42,1023.64,,0.76,2.47,01-12-2018 23:52:54
36.74,Boston University,0.44,1023.65,,0.76,2.43,01-12-2018 23:52:54
36.65,Fenway,0.44,1023.64,,0.76,2.43,01-12-2018 23:52:54
35.54,Financial District,0.4,1023.64,,0.8,2.52,01-12-2018 23:52:54
36.78,Haymarket Square,0.4,1023.64,,0.76,2.52,01-12-2018 23:52:54
36.82,North End,0.4,1023.64,,0.76,2.53,01-12-2018 23:52:54
36.74,North Station,0.4,1023.64,,0.76,2.51,01-12-2018 23:52:54
36.68,Northeastern University,0.43,1023.64,,0.76,2.45,01-12-2018 23:52:54
36.69,Theatre District,0.41,1023.64,,0.76,2.5,01-12-2018 23:52:54
33.71,Back Bay,0.12,991.21,,0.82,5.36,28-11-2018 09:49:16
33.67,Beacon Hill,0.12,991.2,,0.82,5.37,28-11-2018 09:49:16
33.79,Boston University,0.13,991.22,,0.82,5.29,28-11-2018 09:49:16
33.48,Fenway,0.13,991.22,,0.83,5.33,28-11-2018 09:49:16
33.76,Financial District,0.12,991.2,,0.82,5.42,28-11-2018 09:49:16
33.51,Haymarket Square,0.12,991.2,,0.83,5.39,28-11-2018 09:49:16
33.54,North End,0.12,991.2,,0.83,5.4,28-11-2018 09:49:16
33.46,North Station,0.12,991.2,,0.83,5.37,28-11-2018 09:49:16
33.4,Northeastern University,0.13,991.22,,0.83,5.37,28-11-2018 09:49:16
33.76,South Station,0.12,991.21,,0.82,5.43,28-11-2018 09:49:16
33.38,Theatre District,0.12,991.21,,0.83,5.41,28-11-2018 09:49:16
33.41,West End,0.12,991.2,,0.83,5.37,28-11-2018 09:49:16
51.7,Beacon Hill,0.9,1021.3,,0.73,5.55,15-12-2018 18:45:02
51.99,Fenway,0.92,1021.29,,0.73,5.41,15-12-2018 18:45:02
52.14,Financial District,0.9,1021.3,,0.72,5.6,15-12-2018 18:45:02
52.17,South Station,0.9,1021.29,,0.72,5.6,15-12-2018 18:45:02
51.97,Theatre District,0.91,1021.29,,0.73,5.56,15-12-2018 18:45:02
51.94,West End,0.9,1021.31,,0.73,5.57,15-12-2018 18:45:02
25.4,Back Bay,0.76,1006.33,,0.52,17.96,18-12-2018 10:45:01
25.7,Beacon Hill,0.8,1006.69,,0.53,17.88,18-12-2018 10:45:01
25.5,Boston University,0.79,1006.25,,0.52,17.81,18-12-2018 10:45:01
25.74,Financial District,0.77,1006.3,,0.52,18.11,18-12-2018 10:45:01
25.37,Haymarket Square,0.77,1006.3,,0.53,18.16,18-12-2018 10:45:01
25.42,North End,0.77,1006.29,,0.53,18.18,18-12-2018 10:45:01
25.4,North Station,0.8,1006.2,,0.53,18.09,18-12-2018 10:45:01
24.36,Northeastern University,0.69,1006.3,,0.54,17.84,18-12-2018 10:45:01
25.67,South Station,0.77,1006.3,,0.52,18.08,18-12-2018 10:45:01
25.13,Theatre District,0.77,1006.31,,0.53,18.04,18-12-2018 10:45:01
25.18,West End,0.77,1006.31,,0.53,18.12,18-12-2018 10:45:01
28.83,Back Bay,0.27,1021.48,,0.6,5.11,10-12-2018 02:40:57
28.81,Beacon Hill,0.27,1021.48,,0.6,5.16,10-12-2018 02:40:57
28.84,Boston University,0.27,1021.48,,0.6,5.02,10-12-2018 02:40:57
28.66,Fenway,0.27,1021.48,,0.6,5.03,10-12-2018 02:40:57
28.81,Financial District,0.28,1021.48,,0.6,5.21,10-12-2018 02:40:57
28.82,Haymarket Square,0.28,1021.47,,0.6,5.22,10-12-2018 02:40:57
28.86,North End,0.28,1021.47,,0.6,5.24,10-12-2018 02:40:57
28.78,North Station,0.28,1021.47,,0.6,5.2,10-12-2018 02:40:57
28.71,Northeastern University,0.27,1021.48,,0.6,5.06,10-12-2018 02:40:57
28.83,South Station,0.28,1021.48,,0.6,5.2,10-12-2018 02:40:57
28.76,Theatre District,0.28,1021.48,,0.6,5.17,10-12-2018 02:40:57
28.72,West End,0.28,1021.47,,0.6,5.19,10-12-2018 02:40:57
42.89,Boston University,0.98,1024.62,,0.88,5.93,15-12-2018 03:45:02
42.66,West End,0.98,1024.61,,0.89,6.03,15-12-2018 03:45:02
40.65,Back Bay,0.93,1013.76,,0.92,3.01,26-11-2018 05:13:03
40.69,North End,0.93,1013.77,,0.92,3.02,26-11-2018 05:13:03
40.46,Northeastern University,0.92,1013.75,,0.93,3.06,26-11-2018 05:13:03
40.52,Theatre District,0.93,1013.76,,0.93,3.1,26-11-2018 05:13:03
40.42,Beacon Hill,0.92,1013.8,,0.93,2.69,26-11-2018 05:28:03
40.45,North End,0.92,1013.8,,0.93,2.71,26-11-2018 05:28:03
40.35,North Station,0.92,1013.8,,0.93,2.66,26-11-2018 05:28:03
40.16,Northeastern University,0.91,1013.79,,0.94,2.75,26-11-2018 05:28:03
42.47,Back Bay,0.58,1007.66,,0.54,10.66,29-11-2018 19:52:54
42.46,Beacon Hill,0.58,1007.66,,0.54,10.74,29-11-2018 19:52:54
42.65,Boston University,0.59,1007.67,,0.54,10.55,29-11-2018 19:52:54
42.32,Fenway,0.58,1007.67,,0.55,10.54,29-11-2018 19:52:54
42.66,Financial District,0.58,1007.66,,0.54,10.8,29-11-2018 19:52:54
42.44,Haymarket Square,0.58,1007.66,,0.54,10.81,29-11-2018 19:52:54
42.48,North End,0.58,1007.66,,0.54,10.84,29-11-2018 19:52:54
42.4,North Station,0.58,1007.66,,0.54,10.8,29-11-2018 19:52:54
42.31,Northeastern University,0.58,1007.67,,0.55,10.59,29-11-2018 19:52:54
42.64,South Station,0.58,1007.66,,0.54,10.79,29-11-2018 19:52:54
42.33,Theatre District,0.58,1007.66,,0.55,10.74,29-11-2018 19:52:54
42.35,West End,0.58,1007.66,,0.55,10.77,29-11-2018 19:52:54
32.33,Back Bay,0.7,1033.66,,0.56,2.34,13-12-2018 18:45:01
32.24,Beacon Hill,0.7,1033.66,,0.56,2.36,13-12-2018 18:45:01
32.31,Fenway,0.7,1033.65,,0.56,2.31,13-12-2018 18:45:01
32.28,Haymarket Square,0.69,1033.67,,0.56,2.38,13-12-2018 18:45:01
32.31,North End,0.69,1033.67,,0.56,2.38,13-12-2018 18:45:01
32.28,North Station,0.69,1033.67,,0.56,2.36,13-12-2018 18:45:01
40.65,Boston University,0.94,1013.75,,0.92,2.67,26-11-2018 04:55:41
40.54,Fenway,0.94,1013.75,,0.92,2.78,26-11-2018 04:55:41
40.65,South Station,0.94,1013.76,,0.92,2.97,26-11-2018 04:55:41
40.6,Theatre District,0.94,1013.76,,0.92,2.91,26-11-2018 04:55:41
45.27,Beacon Hill,1.0,989.02,,0.93,1.56,27-11-2018 12:15:21
30.02,Fenway,1.0,1003.18,,0.58,12.97,18-12-2018 07:45:02
29.93,West End,1.0,1003.15,,0.59,13.08,18-12-2018 07:45:02
30.1,Back Bay,1.0,1003.16,,0.58,13.04,18-12-2018 07:45:01
30.01,Beacon Hill,1.0,1003.16,,0.59,13.07,18-12-2018 07:45:01
30.09,Boston University,1.0,1003.18,,0.58,12.92,18-12-2018 07:45:01
30.16,Financial District,1.0,1003.15,,0.58,13.16,18-12-2018 07:45:01
30.03,Haymarket Square,1.0,1003.15,,0.59,13.12,18-12-2018 07:45:01
30.07,North End,1.0,1003.15,,0.58,13.14,18-12-2018 07:45:01
30.0,North Station,1.0,1003.15,,0.59,13.09,18-12-2018 07:45:01
29.99,Northeastern University,1.0,1003.17,,0.59,13.03,18-12-2018 07:45:01
30.14,South Station,1.0,1003.15,,0.58,13.17,18-12-2018 07:45:01
29.94,Theatre District,1.0,1003.15,,0.59,13.12,18-12-2018 07:45:01
40.59,North Station,0.93,1013.77,,0.92,2.95,26-11-2018 05:13:58
40.46,Northeastern University,0.92,1013.75,,0.93,3.06,26-11-2018 05:13:58
33.4,Back Bay,0.14,991.21,,0.83,5.65,28-11-2018 10:06:24
33.37,Beacon Hill,0.14,991.2,,0.83,5.65,28-11-2018 10:06:24
33.52,Boston University,0.14,991.21,,0.83,5.57,28-11-2018 10:06:24
33.15,Fenway,0.14,991.22,,0.84,5.61,28-11-2018 10:06:24
33.58,Financial District,0.14,991.2,,0.82,5.71,28-11-2018 10:06:24
33.18,Haymarket Square,0.14,991.19,,0.84,5.68,28-11-2018 10:06:24
33.21,North End,0.14,991.19,,0.84,5.69,28-11-2018 10:06:24
33.13,North Station,0.14,991.19,,0.84,5.66,28-11-2018 10:06:24
33.05,Northeastern University,0.14,991.22,,0.84,5.65,28-11-2018 10:06:24
33.58,South Station,0.14,991.2,,0.82,5.72,28-11-2018 10:06:24
33.04,Theatre District,0.14,991.2,,0.84,5.69,28-11-2018 10:06:24
33.07,West End,0.14,991.19,,0.84,5.66,28-11-2018 10:06:24
46.71,Back Bay,0.91,1022.17,,0.89,3.93,15-12-2018 14:45:01
46.62,Beacon Hill,0.91,1022.17,,0.89,3.96,15-12-2018 14:45:01
46.4,Boston University,0.91,1022.17,,0.9,3.98,15-12-2018 14:45:01
46.86,Fenway,0.91,1022.16,,0.89,3.93,15-12-2018 14:45:01
46.84,Financial District,0.92,1022.16,,0.89,3.92,15-12-2018 14:45:01
46.85,Haymarket Square,0.91,1022.17,,0.88,3.97,15-12-2018 14:45:01
46.85,North End,0.92,1022.17,,0.88,3.97,15-12-2018 14:45:01
46.92,North Station,0.91,1022.17,,0.88,3.99,15-12-2018 14:45:01
46.88,Northeastern University,0.92,1022.16,,0.89,3.89,15-12-2018 14:45:01
46.85,South Station,0.92,1022.16,,0.89,3.89,15-12-2018 14:45:01
46.87,Theatre District,0.92,1022.16,,0.89,3.91,15-12-2018 14:45:01
46.88,West End,0.91,1022.17,,0.88,3.98,15-12-2018 14:45:01
41.98,Fenway,0.88,1021.54,,0.71,7.22,16-12-2018 14:45:02
42.12,South Station,0.87,1021.56,,0.71,7.42,16-12-2018 14:45:02
41.96,West End,0.87,1021.58,,0.71,7.29,16-12-2018 14:45:02
35.65,Financial District,0.14,991.55,,0.77,6.55,28-11-2018 07:24:51
34.94,Haymarket Square,0.14,991.54,,0.79,6.52,28-11-2018 07:24:51
41.01,Back Bay,0.65,1023.18,,0.63,1.79,01-12-2018 20:52:54
40.96,Beacon Hill,0.64,1023.18,,0.63,1.78,01-12-2018 20:52:54
41.09,Boston University,0.65,1023.18,,0.63,1.79,01-12-2018 20:52:54
40.93,Fenway,0.65,1023.17,,0.63,1.8,01-12-2018 20:52:54
41.37,Financial District,0.64,1023.18,,0.62,1.78,01-12-2018 20:52:54
40.94,Haymarket Square,0.64,1023.18,,0.63,1.77,01-12-2018 20:52:54
40.96,North End,0.63,1023.18,,0.63,1.77,01-12-2018 20:52:54
40.92,North Station,0.63,1023.18,,0.63,1.77,01-12-2018 20:52:54
40.9,Northeastern University,0.66,1023.17,,0.63,1.81,01-12-2018 20:52:54
41.35,South Station,0.65,1023.18,,0.62,1.79,01-12-2018 20:52:54
40.87,Theatre District,0.65,1023.18,,0.63,1.79,01-12-2018 20:52:54
40.88,West End,0.64,1023.18,,0.63,1.77,01-12-2018 20:52:54
33.49,Back Bay,0.41,991.97,,0.84,6.74,28-11-2018 09:42:24
33.22,Fenway,0.41,991.99,,0.84,6.69,28-11-2018 09:42:24
33.29,Haymarket Square,0.4,991.95,,0.84,6.79,28-11-2018 09:42:24
33.09,Northeastern University,0.41,991.99,,0.85,6.74,28-11-2018 09:42:24
34.11,South Station,0.4,991.97,,0.82,6.83,28-11-2018 09:42:24
33.08,Theatre District,0.4,991.97,,0.85,6.8,28-11-2018 09:42:24
44.29,Back Bay,1.0,998.12,0.0113,0.89,14.24,27-11-2018 05:45:20
44.28,Beacon Hill,1.0,998.13,0.011,0.89,14.34,27-11-2018 05:45:20
44.37,Boston University,1.0,998.14,0.0073,0.89,14.08,27-11-2018 05:45:20
44.03,Fenway,1.0,998.12,0.0107,0.9,14.1,27-11-2018 05:45:20
43.3,Financial District,1.0,998.65,0.016,0.9,10.17,27-11-2018 05:45:20
44.18,Haymarket Square,1.0,998.13,0.0117,0.89,14.44,27-11-2018 05:45:20
43.12,North End,1.0,998.67,0.012,0.91,10.21,27-11-2018 05:45:20
44.09,North Station,1.0,998.14,0.0097,0.9,14.41,27-11-2018 05:45:20
43.99,Northeastern University,1.0,998.11,0.0127,0.9,14.16,27-11-2018 05:45:20
44.64,South Station,1.0,998.11,0.018,0.88,14.42,27-11-2018 05:45:20
43.06,Theatre District,1.0,998.65,0.0147,0.91,10.15,27-11-2018 05:45:20
44.04,West End,1.0,998.14,0.0103,0.9,14.38,27-11-2018 05:45:20
41.27,Back Bay,0.27,1032.07,,0.66,4.26,14-12-2018 16:45:02
41.2,Beacon Hill,0.27,1032.08,,0.66,4.28,14-12-2018 16:45:02
41.35,Boston University,0.27,1032.06,,0.66,4.24,14-12-2018 16:45:02
40.88,Financial District,0.27,1032.08,,0.67,4.29,14-12-2018 16:45:02
41.16,North Station,0.26,1032.08,,0.66,4.31,14-12-2018 16:45:02
41.49,Northeastern University,0.27,1032.07,,0.66,4.23,14-12-2018 16:45:02
40.99,South Station,0.27,1032.08,,0.67,4.28,14-12-2018 16:45:02
41.3,Theatre District,0.27,1032.08,,0.66,4.27,14-12-2018 16:45:02
41.14,West End,0.27,1032.08,,0.66,4.3,14-12-2018 16:45:02
45.49,Back Bay,0.98,1012.84,,0.86,6.09,26-11-2018 17:05:08
45.49,Boston University,0.98,1012.84,,0.86,5.91,26-11-2018 17:05:08
45.58,Fenway,0.98,1012.84,,0.86,5.97,26-11-2018 17:05:08
45.47,Haymarket Square,0.98,1012.83,,0.86,6.22,26-11-2018 17:05:08
45.5,North End,0.98,1012.83,,0.86,6.25,26-11-2018 17:05:08
45.5,North Station,0.98,1012.83,,0.86,6.18,26-11-2018 17:05:08
45.66,Northeastern University,0.98,1012.85,,0.85,6.05,26-11-2018 17:05:08
45.57,South Station,0.98,1012.84,,0.85,6.27,26-11-2018 17:05:08
45.59,Theatre District,0.98,1012.84,,0.85,6.2,26-11-2018 17:05:08
45.49,West End,0.98,1012.83,,0.86,6.16,26-11-2018 17:05:08
38.61,Back Bay,0.96,1017.24,,0.65,3.26,30-11-2018 22:52:54
38.59,Beacon Hill,0.96,1017.24,,0.65,3.2,30-11-2018 22:52:54
38.58,Boston University,0.96,1017.24,,0.65,3.37,30-11-2018 22:52:54
38.42,Fenway,0.96,1017.24,,0.66,3.36,30-11-2018 22:52:54
39.7,Financial District,0.96,1017.23,,0.63,3.15,30-11-2018 22:52:54
38.61,Haymarket Square,0.96,1017.23,,0.65,3.15,30-11-2018 22:52:54
38.65,North End,0.96,1017.23,,0.65,3.13,30-11-2018 22:52:54
38.57,North Station,0.96,1017.24,,0.65,3.16,30-11-2018 22:52:54
38.46,Northeastern University,0.96,1017.24,,0.66,3.31,30-11-2018 22:52:54
39.71,South Station,0.96,1017.23,,0.63,3.15,30-11-2018 22:52:54
38.54,Theatre District,0.96,1017.24,,0.65,3.19,30-11-2018 22:52:54
38.52,West End,0.96,1017.24,,0.66,3.18,30-11-2018 22:52:54
40.67,Back Bay,0.83,994.09,,0.63,9.24,28-11-2018 22:02:09
40.64,Beacon Hill,0.83,994.08,,0.63,9.24,28-11-2018 22:02:09
40.63,Boston University,0.83,994.1,,0.63,9.16,28-11-2018 22:02:09
41.42,Financial District,0.84,994.07,,0.61,9.3,28-11-2018 22:02:09
40.76,Haymarket Square,0.84,994.07,,0.63,9.26,28-11-2018 22:02:09
40.81,North End,0.84,994.06,,0.63,9.27,28-11-2018 22:02:09
40.78,North Station,0.83,994.07,,0.63,9.24,28-11-2018 22:02:09
40.78,Northeastern University,0.84,994.1,,0.63,9.25,28-11-2018 22:02:09
41.46,South Station,0.84,994.07,,0.61,9.31,28-11-2018 22:02:09
40.86,Theatre District,0.84,994.08,,0.63,9.29,28-11-2018 22:02:09
40.73,West End,0.83,994.07,,0.63,9.24,28-11-2018 22:02:09
44.09,Back Bay,0.99,1005.3,0.1577,0.9,11.25,27-11-2018 01:18:34
44.11,Beacon Hill,0.99,1005.33,0.1881,0.9,11.3,27-11-2018 01:18:34
44.07,Boston University,0.99,1005.27,0.1301,0.9,11.13,27-11-2018 01:18:34
43.87,Fenway,0.99,1005.25,0.1231,0.91,11.15,27-11-2018 01:18:34
44.87,Financial District,0.99,1005.34,0.2125,0.87,11.38,27-11-2018 01:18:34
44.12,Haymarket Square,0.99,1005.36,0.2232,0.9,11.37,27-11-2018 01:18:34
44.17,North End,0.99,1005.37,0.2349,0.9,11.39,27-11-2018 01:18:34
44.07,North Station,0.99,1005.36,0.2178,0.9,11.35,27-11-2018 01:18:34
43.88,Northeastern University,0.99,1005.26,0.1303,0.91,11.2,27-11-2018 01:18:34
44.84,South Station,0.99,1005.33,0.204,0.88,11.38,27-11-2018 01:18:34
43.99,Theatre District,0.99,1005.32,0.1872,0.9,11.33,27-11-2018 01:18:34
44.01,West End,0.99,1005.35,0.2043,0.9,11.33,27-11-2018 01:18:34
31.41,Beacon Hill,0.83,1034.67,,0.64,2.32,13-12-2018 22:45:02
31.35,Boston University,0.83,1034.67,,0.63,2.3,13-12-2018 22:45:02
32.7,Financial District,0.84,1034.68,,0.61,2.36,13-12-2018 22:45:02
30.98,Northeastern University,0.84,1034.67,,0.65,2.35,13-12-2018 22:45:02
31.12,Theatre District,0.84,1034.67,,0.65,2.35,13-12-2018 22:45:02
31.18,West End,0.83,1034.68,,0.64,2.31,13-12-2018 22:45:02
38.84,Back Bay,1.0,1005.53,,0.9,10.93,17-12-2018 06:45:01
38.85,Beacon Hill,1.0,1005.54,,0.9,11.01,17-12-2018 06:45:01
38.77,Boston University,1.0,1005.57,,0.9,10.69,17-12-2018 06:45:01
38.6,Fenway,1.0,1005.54,,0.91,10.76,17-12-2018 06:45:01
39.65,Financial District,1.0,1005.51,,0.88,11.17,17-12-2018 06:45:01
38.86,Haymarket Square,1.0,1005.53,,0.9,11.11,17-12-2018 06:45:01
38.91,North End,1.0,1005.53,,0.9,11.15,17-12-2018 06:45:01
38.77,North Station,1.0,1005.54,,0.91,11.06,17-12-2018 06:45:01
38.65,Northeastern University,1.0,1005.53,,0.91,10.88,17-12-2018 06:45:01
39.63,South Station,1.0,1005.5,,0.88,11.18,17-12-2018 06:45:01
38.74,Theatre District,1.0,1005.51,,0.91,11.09,17-12-2018 06:45:01
38.71,West End,1.0,1005.54,,0.91,11.03,17-12-2018 06:45:01
21.25,Back Bay,0.3,1028.28,,0.55,4.88,13-12-2018 06:45:01
21.17,Beacon Hill,0.29,1028.29,,0.56,4.93,13-12-2018 06:45:01
21.07,Boston University,0.31,1028.29,,0.55,4.73,13-12-2018 06:45:01
21.17,Fenway,0.31,1028.28,,0.55,4.77,13-12-2018 06:45:01
21.22,Haymarket Square,0.29,1028.29,,0.56,5.0,13-12-2018 06:45:01
21.25,North End,0.29,1028.29,,0.56,5.03,13-12-2018 06:45:01
21.16,North Station,0.29,1028.29,,0.56,4.97,13-12-2018 06:45:01
21.27,Northeastern University,0.31,1028.27,,0.55,4.85,13-12-2018 06:45:01
21.3,Theatre District,0.3,1028.28,,0.56,4.98,13-12-2018 06:45:01
